Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1684884564486
Timestamp end: 1684886364923

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      352.5   191.2   160.7   218.7   230.7   319.2   377.5   413.1   439.2   470.9   511.8   573.8   706.8  1397.9  8277.9  79951.1    79937
read      418.2   329.8   173.5   257.5   282.8   398.5   435.4   457.6   471.8   493.8   520.5   567.7   691.6  6845.9 11227.3   7304.4     7271
read      352.1   173.2   160.7   219.2   231.6   320.6   377.1   411.0   435.9   466.7   506.5   568.7   709.2  1384.4  7068.2  85768.8    85861
read      349.7   194.0   160.7   219.3   231.4   319.5   373.8   406.1   430.9   460.9   499.6   559.4   699.5  1376.8  7530.1  91399.9    91467
read      360.3   190.3   160.7   219.3   231.9   325.1   388.0   425.3   453.7   488.0   531.8   591.9   730.1  1517.1  7690.9  72179.0    72217
read      400.5   213.8   173.5   224.1   239.4   363.2   457.1   503.2   531.7   561.7   594.6   641.8   788.3  1610.1  8130.6  31141.1    31080
read      358.1   209.5   160.7   219.2   231.7   324.2   384.5   420.7   447.5   479.7   522.3   584.6   728.4  1320.3  8022.5  76934.3    76878
read      352.3   184.0   160.7   219.2   231.4   320.9   378.1   412.0   436.8   467.5   507.0   568.6   693.3  1375.2  7861.0  84458.8    84584
read      417.0   268.4   160.7   237.2   255.9   409.8   461.8   488.7   506.5   529.8   556.9   600.0   715.5  3682.6 12119.1  12494.7    12492
read      378.8   251.6   160.7   221.1   235.2   338.8   410.2   453.4   486.3   525.1   570.4   629.8   771.8  1499.7  9376.0  57021.2    57106
read      346.4   164.6   160.7   219.3   231.7   318.7   370.5   401.1   425.0   453.7   491.2   548.4   685.0  1420.7  5514.4  96219.5    96245
